fid,nome,geocodigo,coded_km2
"1",Caracaraí,"1400209","1638"
"2",São Luiz,"1400605","40"
"3",Rorainópolis,"1400472","635"
"4",São João da Baliza,"1400506","38"
"5",Caroebe,"1400233","88"
